highest_layer,transport_layer,src_ip,dst_ip,src_port,dst_port,ip_flag,packet_length,transport_flag,time,timestamp,geo_country,data
DNS,UDP,172.16.112.20,192.168.1.20,53,53,0,0,-1,1999-03-08 19:00:00.498308,920898000498,Unknown,
DNS,UDP,192.168.1.20,172.16.112.20,53,53,0,0,-1,1999-03-08 19:00:00.507439,920898000507,Unknown,
DNS,UDP,172.16.112.20,192.168.1.10,53,53,0,0,-1,1999-03-08 19:00:00.508021,920898000508,Unknown,
DNS,UDP,192.168.1.10,172.16.112.20,53,53,0,1,-1,1999-03-08 19:00:00.509870,920898000509,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,0,0,2,1999-03-08 19:00:00.510836,920898000510,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,21,1025,0,0,18,1999-03-08 19:00:00.515528,920898000515,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:00.515710,920898000515,Unknown,
DNS,UDP,192.168.1.10,172.16.112.20,53,53,0,0,-1,1999-03-08 19:00:00.672052,920898000672,Unknown,
DNS,UDP,172.16.112.20,192.168.1.10,53,53,0,1,-1,1999-03-08 19:00:00.672630,920898000672,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,1,24,1999-03-08 19:00:00.705139,920898000705,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '220 calvin FTP server (Version wu-2.4.2-academ[BETA-15](1) Sat Nov 1 03:08:32 EST 1997) ready.\\r\\n', 'ftp.response.code': '220', 'ftp.response.arg': 'calvin FTP server (Version wu-2.4.2-academ[BETA-15](1) Sat Nov 1 03:08:32 EST 1997) ready.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:00.715330,920898000715,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:01.016166,920898001016,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'USER anonymous\\r\\n', 'ftp.request.command': 'USER', 'ftp.request.arg': 'anonymous'}"
TCP,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,16,1999-03-08 19:00:01.031588,920898001031,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:01.064424,920898001064,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '331 Guest login ok, send your complete e-mail address as password.\\r\\n', 'ftp.response.code': '331', 'ftp.response.arg': 'Guest login ok, send your complete e-mail address as password.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:01.075241,920898001075,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:01.655914,920898001655,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'PASS megans@crow.eyrie.af.mil\\r\\n', 'ftp.request.command': 'PASS', 'ftp.request.arg': 'megans@crow.eyrie.af.mil'}"
TCP,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,16,1999-03-08 19:00:01.671492,920898001671,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:01.732489,920898001732,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '230 Guest login ok, access restrictions apply.\\r\\n', 'ftp.response.code': '230', 'ftp.response.arg': 'Guest login ok, access restrictions apply.'}"
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:01.732916,920898001732,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'SYST\\r\\n', 'ftp.request.command': 'SYST'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:01.736048,920898001736,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '215 UNIX Type: L8\\r\\n', 'ftp.response.code': '215', 'ftp.response.arg': 'UNIX Type: L8'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:01.755094,920898001755,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:03.068166,920898003068,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'PORT 172,16,114,148,4,2\\r\\n', 'ftp.request.command': 'PORT', 'ftp.request.arg': '172,16,114,148,4,2', 'ftp.active.cip': '172.16.114.148', 'ftp.active.port': '1026'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:03.069317,920898003069,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '200 PORT command successful.\\r\\n', 'ftp.response.code': '200', 'ftp.response.arg': 'PORT command successful.'}"
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:03.069917,920898003069,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'LIST\\r\\n', 'ftp.request.command': 'LIST'}"
TCP,TCP,197.218.177.69,172.16.114.148,20,1026,0,0,2,1999-03-08 19:00:03.073199,920898003073,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1026,20,0,0,18,1999-03-08 19:00:03.073469,920898003073,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1026,16384,0,16,1999-03-08 19:00:03.074193,920898003074,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:03.074646,920898003074,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '150 Opening ASCII mode data connection for /bin/ls.\\r\\n', 'ftp.response.code': '150', 'ftp.response.arg': 'Opening ASCII mode data connection for /bin/ls.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:03.084826,920898003084,Unknown,
DNS,UDP,192.168.1.10,172.16.112.20,53,53,0,0,-1,1999-03-08 19:00:04.535457,920898004535,Unknown,
DNS,UDP,172.16.112.20,192.168.1.10,53,53,0,1,-1,1999-03-08 19:00:04.536365,920898004536,Unknown,
TCP,TCP,195.115.218.108,172.16.112.100,1024,25,0,0,2,1999-03-08 19:00:04.543994,920898004543,Unknown,
TCP,TCP,172.16.112.100,195.115.218.108,25,1024,0,0,20,1999-03-08 19:00:04.546298,920898004546,Unknown,
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1026,16384,8,24,1999-03-08 19:00:04.889270,920898004889,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:04.889344,920898004889,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '226 Transfer complete.\\r\\n', 'ftp.response.code': '226', 'ftp.response.arg': 'Transfer complete.'}"
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1026,16384,1,24,1999-03-08 19:00:04.889487,920898004889,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1026,0,0,17,1999-03-08 19:00:04.889556,920898004889,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1026,20,16384,0,16,1999-03-08 19:00:04.889701,920898004889,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:04.904438,920898004904,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1026,20,0,0,17,1999-03-08 19:00:04.909967,920898004909,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1026,16384,0,16,1999-03-08 19:00:04.910662,920898004910,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:05.955524,920898005955,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'CWD usr\\r\\n', 'ftp.request.command': 'CWD', 'ftp.request.arg': 'usr'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:05.957512,920898005957,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '250 CWD command successful.\\r\\n', 'ftp.response.code': '250', 'ftp.response.arg': 'CWD command successful.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:05.974218,920898005974,Unknown,
NTP,UDP,172.16.112.50,172.16.112.10,123,123,16384,0,-1,1999-03-08 19:00:06.627149,920898006627,Unknown,
NTP,UDP,172.16.112.10,172.16.112.50,123,123,16384,0,-1,1999-03-08 19:00:06.627631,920898006627,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:06.785126,920898006785,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'PORT 172,16,114,148,4,3\\r\\n', 'ftp.request.command': 'PORT', 'ftp.request.arg': '172,16,114,148,4,3', 'ftp.active.cip': '172.16.114.148', 'ftp.active.port': '1027'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:06.785949,920898006785,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '200 PORT command successful.\\r\\n', 'ftp.response.code': '200', 'ftp.response.arg': 'PORT command successful.'}"
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:06.786247,920898006786,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'LIST\\r\\n', 'ftp.request.command': 'LIST'}"
TCP,TCP,197.218.177.69,172.16.114.148,20,1027,0,0,2,1999-03-08 19:00:06.788913,920898006788,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1027,20,0,0,18,1999-03-08 19:00:06.789191,920898006789,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1027,16384,0,16,1999-03-08 19:00:06.789890,920898006789,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:06.794466,920898006794,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '150 Opening ASCII mode data connection for /bin/ls.\\r\\n', 'ftp.response.code': '150', 'ftp.response.arg': 'Opening ASCII mode data connection for /bin/ls.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:06.814035,920898006814,Unknown,
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1027,16384,5,24,1999-03-08 19:00:06.849273,920898006849,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:06.849358,920898006849,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '226 Transfer complete.\\r\\n', 'ftp.response.code': '226', 'ftp.response.arg': 'Transfer complete.'}"
TCP,TCP,197.218.177.69,172.16.114.148,20,1027,0,0,17,1999-03-08 19:00:06.849424,920898006849,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1027,20,16384,0,16,1999-03-08 19:00:06.849586,920898006849,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1027,20,0,0,17,1999-03-08 19:00:06.850565,920898006850,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1027,16384,0,16,1999-03-08 19:00:06.851239,920898006851,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:06.864022,920898006864,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:08.106710,920898008106,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'CWD bin3\\r\\n', 'ftp.request.command': 'CWD', 'ftp.request.arg': 'bin3'}"
TCP,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,16,1999-03-08 19:00:08.120186,920898008120,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:08.173797,920898008173,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '250 CWD command successful.\\r\\n', 'ftp.response.code': '250', 'ftp.response.arg': 'CWD command successful.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:08.193748,920898008193,Unknown,
NTP,UDP,172.16.112.100,172.16.112.10,1066,123,0,0,-1,1999-03-08 19:00:08.637962,920898008637,Unknown,
NTP,UDP,172.16.112.10,172.16.112.100,123,1066,16384,0,-1,1999-03-08 19:00:08.638308,920898008638,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:09.255137,920898009255,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'PORT 172,16,114,148,4,4\\r\\n', 'ftp.request.command': 'PORT', 'ftp.request.arg': '172,16,114,148,4,4', 'ftp.active.cip': '172.16.114.148', 'ftp.active.port': '1028'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:09.256177,920898009256,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '200 PORT command successful.\\r\\n', 'ftp.response.code': '200', 'ftp.response.arg': 'PORT command successful.'}"
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:09.256533,920898009256,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'LIST\\r\\n', 'ftp.request.command': 'LIST'}"
TCP,TCP,197.218.177.69,172.16.114.148,20,1028,0,0,2,1999-03-08 19:00:09.259457,920898009259,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1028,20,0,0,18,1999-03-08 19:00:09.259743,920898009259,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1028,16384,0,16,1999-03-08 19:00:09.260443,920898009260,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:09.265053,920898009265,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '150 Opening ASCII mode data connection for /bin/ls.\\r\\n', 'ftp.response.code': '150', 'ftp.response.arg': 'Opening ASCII mode data connection for /bin/ls.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:09.283523,920898009283,Unknown,
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1028,16384,8,24,1999-03-08 19:00:09.290054,920898009290,Unknown,
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1028,16384,11,24,1999-03-08 19:00:09.291631,920898009291,Unknown,
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:09.291716,920898009291,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '226 Transfer complete.\\r\\n', 'ftp.response.code': '226', 'ftp.response.arg': 'Transfer complete.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:09.303519,920898009303,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1028,20,16384,0,16,1999-03-08 19:00:09.303585,920898009303,Unknown,
DATA-TEXT-LINES,TCP,197.218.177.69,172.16.114.148,20,1028,16384,6,24,1999-03-08 19:00:09.305729,920898009305,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1028,0,0,17,1999-03-08 19:00:09.305796,920898009305,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1028,20,16384,0,16,1999-03-08 19:00:09.305952,920898009305,Unknown,
TCP,TCP,172.16.114.148,197.218.177.69,1028,20,0,0,17,1999-03-08 19:00:09.307350,920898009307,Unknown,
TCP,TCP,197.218.177.69,172.16.114.148,20,1028,16384,0,16,1999-03-08 19:00:09.308000,920898009308,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:10.394223,920898010394,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'TYPE I\\r\\n', 'ftp.request.command': 'TYPE', 'ftp.request.arg': 'I'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:10.395232,920898010395,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '200 Type set to I.\\r\\n', 'ftp.response.code': '200', 'ftp.response.arg': 'Type set to I.'}"
TCP,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,16,1999-03-08 19:00:10.413283,920898010413,Unknown,
DATA,TCP,172.16.114.148,197.218.177.69,1025,21,16384,0,24,1999-03-08 19:00:12.504609,920898012504,Unknown,"{'ftp.request': '1', 'ftp.response': '0', '': 'PORT 172,16,114,148,4,5\\r\\n', 'ftp.request.command': 'PORT', 'ftp.request.arg': '172,16,114,148,4,5', 'ftp.active.cip': '172.16.114.148', 'ftp.active.port': '1029'}"
DATA,TCP,197.218.177.69,172.16.114.148,21,1025,16384,0,24,1999-03-08 19:00:12.505571,920898012505,Unknown,"{'ftp.request': '0', 'ftp.response': '1', '': '200 PORT command successful.\\r\\n', 'ftp.response.code': '200', 'ftp.response.arg': 'PORT command successful.'}"
